"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-26a-1-3p",8.96011076692669,-1.32063498339708,0.447161976876617,-2.9533704824851,0.00314324477027364,0.0107287875000115
"hsa-miR-455-3p",625.840625723431,-1.47196417213345,0.276223098944989,-5.32889601831089,9.88115448330964e-08,8.46302583061242e-07
"hsa-miR-656-3p",73.6137572626345,1.51339241216141,0.256054191224276,5.91043796207905,3.41199337490843e-09,3.80252273709674e-08
"hsa-miR-30a-5p",96491.4837583466,-1.51379958853899,0.189443945440638,-7.99075201383691,1.34118099567037e-15,3.54454977427169e-14
"hsa-miR-328-3p",261.365233445948,1.27260867598826,0.261668637275618,4.86343602060269,1.15365327172528e-06,8.14602501027396e-06
"hsa-miR-127-3p",649.000026089487,1.87235955705433,0.366825585409189,5.10422291009429,3.32156566141496e-07,2.50369213187202e-06
"hsa-miR-449c-5p",2901.4445040231,-6.88749157543626,0.564884786217667,-12.1927368969401,3.39813841427793e-34,2.61939836100591e-32
"hsa-miR-141-5p",623.355552401506,-5.33509565306105,0.435174883550163,-12.2596589434052,1.49126208640147e-34,1.25401584538305e-32
"hsa-miR-192-3p",3.52889817910426,-1.58704877853994,0.562073319784419,-2.82356184269456,0.00474932624791481,0.0153605831444797
"hsa-miR-143-3p",903168.314826365,2.2889023256991,0.35066431723672,6.52733173348215,6.69516546355088e-11,9.52773546736087e-10
"hsa-miR-592",83.0003166892612,2.65622033089747,0.404630345358769,6.56456037310379,5.21865975277591e-11,7.78590366341568e-10
"hsa-miR-2355-5p",59.4166473797713,1.31849067330748,0.286747530473922,4.59808902670705,4.26383802619607e-06,2.73892373210511e-05
"hsa-miR-301b-3p",744.079648079424,-1.35082902659401,0.283431272990353,-4.76598440370405,1.87933797249284e-06,1.28769453670806e-05
"hsa-miR-449a",2592.8208683121,-6.34734205243357,0.513479962125032,-12.3614211276427,4.22618543161268e-35,4.34357947137969e-33
"hsa-miR-133a-3p",1083.49528331626,2.56701479871178,0.328723756248895,7.80903342065776,5.76282191821612e-15,1.33265256858748e-13
