"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000231128",14.3590154910779,1.83875363698985,0.572811973732682,3.21004748732426,0.00132713045360781,0.00468989240265646,NA
"ENSG00000231121",4.10103928294098,2.10134819867914,0.754319985431869,2.78575172242859,0.00534037577637773,0.0157147509606738,NA
"ENSG00000197813",195.270639721645,2.26582729289281,0.353807658435005,6.40412167140537,1.51237472039815e-10,2.11464659181114e-09,NA
"ENSG00000165685",31.2952032053942,4.70794895265708,0.735313010565346,6.40264606366392,1.52706918201686e-10,2.1341983174475e-09,"TMEM52B"
"ENSG00000197927",84.7732251547356,1.3968708751602,0.210331642728772,6.64127782694826,3.10975232405628e-11,4.86249235203923e-10,"NBEAP2"
"ENSG00000164379",40.5099127832597,-2.67786582776279,0.890694040315064,-3.00649348323421,0.00264279718347606,0.0085461550045676,"FOXQ1"
"ENSG00000203886",2.41816721566331,1.89480340913644,0.69843101988596,2.71294280349378,0.00666886161509807,0.0189943864852997,NA
"ENSG00000230838",55.5049390752543,5.62547205474769,0.847101586846097,6.64084702720517,3.1188559973742e-11,4.87094103552464e-10,"LINC01614"
"ENSG00000164080",790.829998743039,-1.02651318535004,0.195636990962573,-5.24703012604819,1.54570631331366e-07,1.3098125850689e-06,"RAD54L2"
"ENSG00000164087",76.9237307440793,-1.61194097144784,0.373174930323805,-4.31953178111175,1.56360590918788e-05,8.82169616299902e-05,"POC1A"
"ENSG00000171551",986.646631022662,6.7958602578237,0.909271770411647,7.47395935842929,7.78171832717692e-14,1.74643410714488e-12,"ECEL1"
"ENSG00000171557",85.6709467204665,4.51011043362122,1.14059753664189,3.95416462751599,7.68025163150692e-05,0.000369316715472751,"FGG"
"ENSG00000165029",2783.66730636388,1.25216275290191,0.278623183306888,4.49410827211287,6.98620781391744e-06,4.25209232585004e-05,"ABCA1"
"ENSG00000165023",43.0082453932265,-2.47415508522869,0.552906024526221,-4.47482026868629,7.64756154195737e-06,4.61622875936377e-05,"DIRAS2"
"ENSG00000117834",99.5537979176443,-1.80593209447323,0.532159179704855,-3.39359380303244,0.00068981929038627,0.00263342463452041,"SLC5A9"
"ENSG00000237404",2.0947422672093,-3.60669085109651,1.26041081293437,-2.86152008066303,0.00421614794293785,0.0128240988520824,NA
"ENSG00000120471",5.76190731243443,-3.12851962268956,0.686620764762206,-4.55640112161922,5.20375182230608e-06,3.25435133764311e-05,"TP53AIP1"
"ENSG00000263368",4.42855005558452,-3.12766295480246,0.808160693307692,-3.87010031631378,0.000108790578347883,0.00050641794817043,NA
"ENSG00000198590",10.2781607425949,-1.2748641551691,0.366824050320972,-3.47541049735858,0.00051007216938451,0.00201199231162766,"APRG1"
"ENSG00000198597",7.09027442883206,-3.48610576071337,1.20671420118301,-2.8889241191458,0.00386562343555961,0.0118758981066245,"ZNF536"
"ENSG00000122188",75.4348584905221,3.35044219381417,0.424346740291474,7.8955294708116,2.89085352788159e-15,7.90728814563492e-14,"LAX1"
"ENSG00000010610",2418.14492895381,2.48720588041182,0.331492924308669,7.50304364896748,6.2352777599893e-14,1.41097846505459e-12,"CD4"
"ENSG00000203734",20.8873984210116,-1.41704793978967,0.344171029422369,-4.11727838385451,3.83372885161853e-05,0.000197349233010234,"ECT2L"
"ENSG00000271218",153.639156072139,-2.86774799951834,0.48737357540973,-5.88408593368538,4.00259847909405e-09,4.49147232474556e-08,NA
"ENSG00000007062",774.371540132538,-2.0116176424917,0.700121580641822,-2.87324044582027,0.0040628476932907,0.0123929864679151,"PROM1"
"ENSG00000116748",10.3319270514766,6.15087744721402,0.982411085861035,6.26100166797597,3.8251243417131e-10,5.06516685778655e-09,"AMPD1"
"ENSG00000116741",1681.92688253341,2.58501044397159,0.403955827963662,6.39924037487614,1.56151849493882e-10,2.17727341817538e-09,"RGS2"
"ENSG00000145247",569.572908328796,-1.33508244189648,0.275292684930119,-4.84968368206145,1.23658512895142e-06,8.75736921862553e-06,"OCIAD2"
"ENSG00000145244",205.915667482907,2.05701990192922,0.665931861446607,3.08893450068711,0.00200875720218757,0.00672282032134012,"CORIN"
"ENSG00000159261",11.3477685201907,1.49874903752927,0.602431922412665,2.48783137441816,0.01285246561276,0.0333839234051658,"CLDN14"
"ENSG00000162654",864.797663275426,1.47662956795073,0.268220738326934,5.50527739637667,3.68587429007781e-08,3.53123703537915e-07,"GBP4"
"ENSG00000123360",377.547201012054,4.86531440055549,0.318321073940374,15.284298775226,9.73047002239547e-53,1.00680166721379e-49,"PDE1B"
"ENSG00000151458",1208.90015513417,1.32219305647865,0.223909375721273,5.90503659000211,3.52568489803548e-09,3.98012419301929e-08,"ANKRD50"
"ENSG00000139629",217.714798796354,1.50251192391521,0.351445783392496,4.27523104534506,1.90939177960459e-05,0.000105492928998003,"GALNT6"
"ENSG00000107984",2214.99766905623,-3.30401244430571,0.812814578181554,-4.0649030332324,4.80524356938592e-05,0.000241194611145858,"DKK1"
"ENSG00000150722",4.72111337889318,-1.48625846509693,0.575765293833663,-2.58136167812557,0.00984114197156872,0.0265749970489539,"PPP1R1C"
"ENSG00000257766",3.42603471160168,2.64365079857172,1.11267690793384,2.37593750685523,0.0175044271434536,0.0432864546618155,NA
"ENSG00000257764",3506.41146159997,5.48858742953835,0.543454101344866,10.0994498265004,5.55529721457166e-24,3.95005327536581e-22,NA
"ENSG00000156398",223.239131909763,-1.09489664343782,0.288084812023141,-3.8006052306217,0.000144343103498778,0.0006535625718401,"SFXN2"
