"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","Significant"
"ILMN_1741287",17.3919066666667,76.4977684210526,5.72303771083674,2.16471465423151e-05,0.643713090996158,-2.24462390967512,"TNP1","Not Significant"
"ILMN_1778161",-215.176508888889,643.536294736842,-5.50643640202967,3.38810423056696e-05,0.643713090996158,-2.32555750802905,"DNAJC25","Not Significant"
"ILMN_1670185",19.0592677777778,68.6682157894737,5.3071400198743,5.14196633047883e-05,0.643713090996158,-2.40377975663627,"SSH3","Not Significant"
"ILMN_1739763",10.9672355555556,71.7375736842105,5.22109573083239,6.16539346220984e-05,0.643713090996158,-2.43869002143425,"OR13C4","Not Significant"
"ILMN_1818882",-7.39148777777776,62.9912210526316,-4.79071565943218,0.000154648193805792,0.643713090996158,-2.62387657486643,"","Not Significant"
"ILMN_1824726",9.66361444444446,59.2666684210526,4.6965170323941,0.000189575558956812,0.643713090996158,-2.66679256944518,"LOC105372520","Not Significant"
"ILMN_1703111",31.5323622222223,127.589157894737,4.682510017598,0.000195416283999415,0.643713090996158,-2.67324762277715,"BBS7","Not Significant"
"ILMN_1864105",-11.1539855555555,68.5151368421053,-4.66128370130154,0.000204618446558655,0.643713090996158,-2.68306596787175,"","Not Significant"
"ILMN_1791575",153.857915555556,590.567794736842,4.64066389797909,0.000213979922622036,0.643713090996158,-2.69264566314929,"HNRNPLL","Not Significant"
"ILMN_1841835",-10.2681555555555,61.5638631578947,-4.6362645649096,0.000216032977775269,0.643713090996158,-2.69469488007285,"","Not Significant"
"ILMN_1817433",-14.7625988888888,79.441,-4.59248750000947,0.000237586895572331,0.643713090996158,-2.71518865672777,"","Not Significant"
"ILMN_1779265",-14.7326855555555,89.0314105263158,-4.53050232551154,0.000271901824590137,0.643713090996158,-2.74452418081905,"","Not Significant"
"ILMN_1692862",-10.5517622222222,63.2523631578947,-4.48693985193148,0.000298992764884423,0.643713090996158,-2.76536332194025,"","Not Significant"
"ILMN_1662629",-8.49647444444442,59.1163157894737,-4.48393038400009,0.000300962522801559,0.643713090996158,-2.76680974117914,"SPAG11A","Not Significant"
"ILMN_1682293",-10.3151822222222,61.9794789473684,-4.4716547499133,0.000309134490564268,0.643713090996158,-2.7727187432858,"","Not Significant"
"ILMN_1885854",6.23102888888893,54.7143,4.32905765713939,0.000422290283662763,0.643713090996158,-2.84242023721169,"","Not Significant"
