"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"A_24_P364838",3.01070537893673,-0.0942304955671296,10.4265361931874,3.46024723167642e-13,1.3119181354178e-08,19.6669967564321,NA
"A_23_P112554",2.84956298428549,0.306411297053241,10.1271725184484,8.33106137161176e-13,1.57931930421644e-08,18.8435672366712,NA
"A_23_P250607",2.39323284018364,0.155292413729167,9.63162876700799,3.65845054046536e-12,4.62354979304012e-08,17.4521167659984,NA
"A_23_P56734",2.58900642909876,0.310533702030864,9.50559376051851,5.35644616145898e-12,5.0771074941389e-08,17.0926614952781,NA
"A_23_P254626",2.90612736793827,0.469696599887346,9.38556776614894,7.71537453021868e-12,5.85041419877422e-08,16.7482853210984,NA
"A_23_P34537",3.44312403037191,0.355247449679784,8.96994470094346,2.767039644104e-11,1.58789985435965e-07,15.5405909727262,NA
"A_23_P144896",3.78870531995987,0.369982208510802,8.95128900651746,2.93171360988488e-11,1.58789985435965e-07,15.4858405927326,NA
"A_23_P354734",2.56547004045524,0.218553595088735,8.85987053751444,3.89407319124576e-11,1.84549863716114e-07,15.2168897487273,NA
"A_23_P134454",2.23533957938426,0.299221433161265,8.7329359418788,5.78463770242593e-11,2.4368750427753e-07,14.8416612533078,NA
"A_32_P162746",-3.83731601152315,0.318273900451389,-8.67208080294277,6.99773378273121e-11,2.54245271134014e-07,14.6610415860187,NA
"A_24_P943781",3.35350100874537,-0.238065912156636,8.63184812271981,7.9381441463922e-11,2.54245271134014e-07,14.5413744975535,NA
"A_32_P14978",-2.35134743354629,-0.115997290847222,-8.60950022147677,8.51473315668552e-11,2.54245271134014e-07,14.4748162723755,NA
"A_23_P635",2.68990367363734,0.263314539593364,8.58179572897077,9.28871361635275e-11,2.54245271134014e-07,14.3922186837844,NA
"A_23_P65129",2.32132964328858,-0.0459900643217593,8.57840588339088,9.38817797087145e-11,2.54245271134014e-07,14.3821057584048,NA
"A_24_P367227",-3.21672525719136,0.0268080119521605,-8.50399478868196,1.1864781755878e-10,2.8762391872691e-07,14.1597599939706,NA
"A_23_P144521",-2.21484601641667,0.25749946866821,-8.47872991754942,1.28482020986806e-10,2.8762391872691e-07,14.0841132960303,NA
"A_23_P119362",2.89410504243518,0.435111161851852,8.46324451298485,1.34912949721824e-10,2.8762391872691e-07,14.0377096037175,NA
"A_23_P81247",3.18474644318827,0.89604464892284,8.4594171771303,1.36551947488642e-10,2.8762391872691e-07,14.0262361239031,NA
"A_23_P303671",2.90007735404784,0.206682619883488,8.40976914363798,1.59730593633696e-10,3.18738196159366e-07,13.877243488144,NA
"A_32_P411592",2.38441534292747,-0.0407790926026235,8.23053519325312,2.81929125413649e-10,5.34453043046655e-07,13.3369505442269,NA
"A_23_P211233",3.13416386388271,0.0433062628734568,8.19754012085719,3.13127717628112e-10,5.65329727912011e-07,13.2370846523834,NA
"A_23_P60079",2.15004660315586,0.163588492344907,8.18024364149941,3.30853062886672e-10,5.70180137558422e-07,13.1846843959875,NA
"A_23_P12733",2.27137052820062,0.142422568921296,8.14408065320399,3.71257613242452e-10,6.11993962977145e-07,13.0750190419525,NA
"A_23_P68824",2.96545071163734,0.0395031649560185,8.10833658173413,4.16094138642207e-10,6.31115101226827e-07,12.9664811767109,NA
"A_32_P98683",2.32465411321142,0.376898919760031,8.1082951863587,4.1614911459278e-10,6.31115101226827e-07,12.9663553967201,NA
"A_23_P419038",3.66386256237345,0.136606188239198,8.05625880322766,4.91397388525927e-10,6.89716277577145e-07,12.8080943493519,NA
"A_23_P16915",2.35060760116512,0.32402724501929,8.03785300807466,5.2118569657522e-10,6.89716277577145e-07,12.7520453601692,NA
"A_23_P47208",2.90470770621296,0.245334719276235,8.02735015131028,5.38993977647105e-10,6.89716277577145e-07,12.7200458921919,NA
"A_23_P39076",2.67219112484722,0.459110701153549,8.02370008837467,5.45325692943873e-10,6.89716277577145e-07,12.7089223272322,NA
"A_23_P55251",2.98291064406636,0.168114868574846,8.02345818398991,5.45747964533268e-10,6.89716277577145e-07,12.7081850732582,NA
"A_23_P163787",3.40583958953704,-0.274916369839506,8.00397186320028,5.80870736027985e-10,7.10423647927904e-07,12.6487758918764,NA
"A_24_P79054",3.5334821625108,0.385126342702932,7.97500290230481,6.37349370981322e-10,7.55139501605808e-07,12.5603817000087,NA
"A_23_P13382",2.94112576281635,0.460729738706019,7.92625925534119,7.45180664958943e-10,8.31029609084575e-07,12.4114488046904,NA
"A_23_P211428",2.99916076332716,0.257570837401235,7.9262346934025,7.4523940256569e-10,8.31029609084575e-07,12.4113736948634,NA
"A_23_P6413",2.79745511400771,0.46233146552392,7.90461634998355,7.98792634195109e-10,8.65297826653525e-07,12.3452411002686,NA
"A_23_P101655",2.5536151643287,0.663329340809414,7.89195905370664,8.31933066579736e-10,8.76164174619559e-07,12.3064988525341,NA
"A_23_P343411",2.42927587196142,0.375872152110339,7.86517471222073,9.06709510266754e-10,9.29107685736586e-07,12.2244616085757,NA
"A_24_P24819",2.59401926850926,0.332918253989197,7.84476352393843,9.68217229457395e-10,9.66026000990729e-07,12.1618956474235,NA
