"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"208651_x_at",-1261.529905945,734.0768090275,-24.5327174796788,8.82184635654819e-16,4.82334449544272e-11,6.75167324472853,"CD24"
"228564_at",176.845930095,131.6928772525,22.6992850490459,3.65167672690611e-15,9.98277125217959e-11,6.63407019924206,NA
"216379_x_at",-3956.528896695,2248.0048331525,-20.346144760389,2.66790084551409e-14,3.9185607534445e-10,6.4398703768065,"CD24"
"1562736_at",79.00411935375,52.058932648125,19.9278372797266,3.88395036813244e-14,3.9185607534445e-10,6.39888546042552,NA
"209771_x_at",-4675.17511891,2661.732108045,-19.874988983306,4.07476280051376e-14,3.9185607534445e-10,6.39354621730051,"CD24"
"201989_s_at",331.18142625,387.502662425,19.8158027483711,4.30020384465789e-14,3.9185607534445e-10,6.38752241683062,"CREBL2"
"224345_x_at",392.14184105,583.928934975,18.5238826076881,1.44702981965641e-13,1.01229878107183e-09,6.24340209803399,NA
"229942_at",288.35560786,194.29672257,18.4049496727598,1.62423536460153e-13,1.01229878107183e-09,6.22881263525665,NA
"201431_s_at",1445.1937724,865.6554228,18.3786980371317,1.66633544209354e-13,1.01229878107183e-09,6.22555975220448,"DPYSL3"
"219121_s_at",-109.890633535,87.8829633575,-18.0218116464,2.36744539466764e-13,1.26461388587673e-09,6.18013221961227,"ESRP1"
"225613_at",245.34173402,248.45032154,17.8759174752939,2.73784901954749e-13,1.26461388587673e-09,6.16089432205484,NA
"225611_at",169.83224632,194.45829179,17.8622424106336,2.77555859726031e-13,1.26461388587673e-09,6.15907063133838,NA
"203710_at",381.13315423,248.966878085,17.4593781298253,4.17076056742197e-13,1.70362556639376e-09,6.10371647904469,"ITPR1"
"225846_at",-179.948816835,119.4846535325,-17.4154641999722,4.36227854220623e-13,1.70362556639376e-09,6.09748683281899,NA
"235141_at",-153.99305362,121.73847199,-17.3295234385513,4.76429352472722e-13,1.73658498976307e-09,6.08518021634077,NA
"228335_at",1725.99638578,884.91397261,17.21452452937,5.36405222793777e-13,1.83299722226561e-09,6.06847072626313,NA
"229273_at",-258.1919065525,164.85896142375,-16.9973099674766,6.72349098906866e-13,2.16239335192547e-09,6.03613444889761,NA
"211323_s_at",192.324803125,154.0646017875,16.9003486844424,7.44293458367117e-13,2.26079137979012e-09,6.02136420843709,"ITPR1"
"215388_s_at",1441.21431998,797.79013931,16.8213818034943,8.08845584687222e-13,2.27704948107915e-09,6.00917816445882,NA
"222281_s_at",-2179.55311557,1232.180150715,-16.7935903784545,8.32939910774267e-13,2.27704948107915e-09,6.00485549769709,"RHEX"
"229404_at",-497.30623173,411.762782635,-16.512060517316,1.1241123790154e-12,2.92670687250796e-09,5.96004584527106,NA
