Gene_Name	EC18	EC19	EC38	EC54	EC63	EC64	EC65	EC7	EU18	EU19	EU38	EU54	EU63	EU64	EU65	EU7
ENSG00000207287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229097	31	14	13	10	40	9	17	21	41	22	42	36	32	34	23	35
ENSG00000229091	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
ENSG00000229090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229093	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229092	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221778	1	2	0	2	0	1	0	0	0	0	0	0	0	0	0	1
ENSG00000229729	86	48	47	58	56	64	39	56	84	55	83	70	33	74	64	128
ENSG00000221770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000136527	2669	2776	2752	2301	2576	2899	2269	2949	3767	3048	4502	4689	2971	3274	3092	4536
ENSG00000221774	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ENSG00000136521	1129	1393	1654	1217	1208	1377	1031	1255	1172	764	1208	1150	924	756	1068	1132
ENSG00000136522	323	506	617	367	391	401	319	439	690	501	726	665	486	393	713	372
ENSG00000221777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000139187	143	48	48	100	35	45	146	181	12	16	13	13	7	10	15	16
ENSG00000071994	653	798	836	652	693	883	645	855	1057	816	1346	1031	683	887	760	1044
ENSG00000139182	1558	1844	1441	1700	1523	1778	1256	1787	1609	1346	2037	2320	1491	1575	1604	844
ENSG00000071991	0	2	0	2	0	2	0	0	0	0	0	0	0	0	1	0
ENSG00000202099	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000259904	1	0	0	0	0	1	1	2	1	0	1	2	0	3	1	8
ENSG00000259905	1	114	8	1	9	15	16	6	10	8	3	41	6	12	1	28
ENSG00000259906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259907	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000259900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225479	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000229724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234156	0	0	0	0	0	0	0	0	4	6	3	3	4	13	0	4
ENSG00000260260	7	28	76	8	9	35	30	54	23	21	21	43	7	15	21	64
ENSG00000234155	4	2	3	4	4	2	0	2	9	25	11	0	20	24	25	27
ENSG00000225473	0	0	0	0	0	1	0	0	3	3	3	0	6	20	3	10
ENSG00000226515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234159	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0
ENSG00000225477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225476	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268055	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274570	11	11	3	1	6	4	5	2	6	3	6	7	10	6	4	15
ENSG00000149599	13	86	36	4	29	82	18	53	33	23	42	123	29	37	23	112
ENSG00000274572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229543	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000229542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229720	9	3	7	10	5	3	3	6	0	0	0	1	0	1	0	0
ENSG00000229547	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229544	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	2
ENSG00000199066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000072274	268	2168	678	419	691	723	405	469	1864	2179	2310	1403	1094	1662	4248	2754
ENSG00000157184	447	424	461	473	428	451	484	411	649	535	791	490	639	710	547	875
ENSG00000185917	279	381	273	297	298	337	226	340	367	375	398	506	288	420	236	530
ENSG00000185915	0	1	3	3	1	1	0	1	3	0	3	0	3	3	4	5
ENSG00000165424	2149	3020	4289	2650	3066	3497	2094	4637	3627	1730	2668	1984	2469	2940	865	2096
ENSG00000132530	1819	2772	2409	1497	2165	1857	1372	2268	1220	1261	2310	1802	1184	1497	648	1238
ENSG00000132535	872	1045	964	740	940	1292	552	1018	726	448	620	1269	569	607	331	973
ENSG00000104866	693	705	931	674	745	1054	603	865	1210	849	1000	918	783	1006	985	1337
ENSG00000104863	45	49	80	53	44	74	58	68	86	40	66	101	50	74	26	95
ENSG00000214954	51	7	7	10	41	17	16	26	22	12	20	36	22	25	1	25
ENSG00000260460	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000135070	807	1234	1458	1247	1077	1570	825	1014	1219	845	1458	1261	749	1011	1007	796
ENSG00000135077	1673	293	695	1414	863	374	1764	920	184	82	225	242	688	74	257	50
ENSG00000103995	183	150	121	200	161	134	117	134	123	175	175	337	167	132	112	263
ENSG00000135074	954	780	1148	427	1189	736	1016	1459	505	244	355	918	770	384	551	166
ENSG00000281281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158636	578	671	692	610	608	884	568	697	684	563	847	941	521	767	704	762
ENSG00000279942	5	0	1	0	1	0	4	4	0	0	0	2	0	0	0	1
ENSG00000169717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160838	5	4	0	0	4	6	1	7	46	23	32	142	49	32	56	118
ENSG00000235201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235200	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0
ENSG00000235203	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235205	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000235204	11	10	13	5	6	1	9	2	12	12	16	8	4	10	8	8
ENSG00000235207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000262358	18	27	34	32	56	19	35	39	2	2	9	5	11	1	15	1
ENSG00000235209	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0
ENSG00000224383	653	347	425	499	463	506	529	514	465	295	274	483	273	278	443	414
ENSG00000169714	5126	6319	6501	5719	5257	9816	5231	6626	7550	4970	8993	7201	4786	5920	5257	6557
ENSG00000224387	1	0	0	1	2	0	3	0	0	2	0	0	3	0	0	1
ENSG00000224384	5	14	4	5	5	17	4	11	1	2	4	1	1	0	0	3
ENSG00000172348	509	1501	641	412	727	2593	671	584	124	63	61	370	47	57	156	108
ENSG00000263698	0	0	2	1	1	0	0	1	0	0	0	0	0	0	1	0
ENSG00000198331	81	133	100	94	93	140	102	136	153	104	152	202	116	109	77	267
ENSG00000231473	8	1	4	7	4	2	7	6	2	4	6	4	0	8	5	4
ENSG00000231470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231471	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000231476	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231475	0	0	0	402	0	0	0	120	0	0	0	0	0	1	0	0
ENSG00000231478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000200065	1	2	0	0	0	1	0	0	0	1	3	2	1	1	0	3
ENSG00000276775	54	51	160	278	8	132	370	240	0	1	2	4	2	6	9	1
ENSG00000271612	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000271611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271614	71	44	44	96	59	75	53	60	43	32	43	144	48	59	44	78
ENSG00000081041	206	130	181	70	345	83	172	237	3	27	60	88	43	17	13	27
ENSG00000278815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271618	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000268902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000250972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000263690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000246695	138	146	166	116	171	129	103	250	179	136	157	252	124	94	134	190
ENSG00000246526	70	3	19	14	5	6	48	30	9	30	15	3	27	10	18	8
ENSG00000079459	874	1246	1411	948	939	1434	731	1261	2091	1423	2438	3002	1017	2354	1658	3106
ENSG00000246523	5	23	13	21	15	17	8	14	9	3	1	8	0	6	5	16
ENSG00000273100	4	0	2	4	8	0	13	8	11	2	2	13	10	6	8	11
ENSG00000216031	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
ENSG00000273102	2	0	2	0	0	0	1	4	0	2	2	0	0	0	0	0
ENSG00000273104	0	2	0	1	0	1	1	0	1	0	0	3	0	0	3	0
ENSG00000246528	0	6	1	2	4	16	3	5	1	2	2	4	1	1	2	2
ENSG00000273107	3	24	29	16	13	15	2	21	9	1	2	4	6	0	2	9
ENSG00000266399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000263697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227800	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000227802	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0
ENSG00000227803	25	22	23	15	13	27	36	24	35	41	47	80	7	47	37	51
ENSG00000227805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000266255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240591	125	155	156	145	150	248	107	182	232	145	214	240	144	163	115	167
ENSG00000240590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
