"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2202",4608.20633155226,9.19376679093842,0.342315748346825,26.8575630403762,6.88237077818731e-159,1.49526387526897e-154
"8490",2349.30498781064,6.63582697366878,0.348557764059273,19.0379548468195,8.26941627275419e-81,8.98306689709288e-77
"5318",843.496649826042,8.21146955163526,0.503576410562103,16.3063030344679,8.90200938185317e-60,6.44683519433807e-56
"1545",2686.37536888229,8.67410496835579,0.5519014177418,15.7167651495577,1.1610203838803e-55,6.30608221504586e-52
"5740",10342.4422129804,10.6770445435752,0.688076690344879,15.5172304096272,2.65255148264991e-54,1.15258667024104e-50
"205",996.680975518263,7.37314486211995,0.483040227313633,15.2640389872387,1.32769426966958e-52,4.80758095047355e-49
"27295",2855.12754231192,10.5774173146648,0.69814208421422,15.1508089167408,7.48397593839403e-52,2.03246076546936e-48
"6770",875.12121137286,7.40800025974217,0.488765198808091,15.1565624512699,6.85652324493697e-52,2.03246076546936e-48
"9843",843.474599601853,8.88464397686724,0.608368037851812,14.6040610684274,2.64602535223237e-48,6.38750520028895e-45
"718",7109.8680840757,10.2239303789791,0.717851898905135,14.2423951160018,4.99841066485143e-46,1.08595470104562e-42
"10659",1244.87146833806,8.22655573401588,0.586747315425623,14.020610776972,1.16606763317033e-44,2.30308958165987e-41
"4330",544.641087979526,7.76122082007887,0.575187331723393,13.4933792731917,1.71075930114211e-41,3.0973297147178e-38
"2627",1349.7968529619,6.99249773757108,0.527282872580075,13.2613784767097,3.8770297208792e-40,6.47941136275551e-37
"91768",595.687157914917,6.59749056687312,0.501130363206783,13.1652181772725,1.3913513229154e-39,2.15917848869e-36
"1612",1224.44456262648,6.63824572575613,0.515579008203428,12.8753219586802,6.19800844490049e-38,8.97719543159387e-35
"10687",827.818871834159,8.25725862322706,0.654904783792817,12.6083345664479,1.89964903730502e-36,2.57948593653055e-33
"63895",658.034080089939,6.65237077223544,0.531184259996702,12.5236594402792,5.54198214556638e-36,7.08265318203384e-33
"7412",1470.94119450688,8.9618326172016,0.75563138256041,11.8600587853233,1.90841092836177e-32,2.30345199053266e-29
"51816",238.266451769345,4.11424965138061,0.347759392580742,11.8307362479803,2.7075641180813e-32,3.09602831733865e-29
"646029",384.463293964477,9.56509135098735,0.813319195778351,11.7605626433463,6.23176221775213e-32,6.76956329714413e-29
"92949",694.937098789831,8.3094639323978,0.708216426984316,11.732944359651,8.63999981370165e-32,8.9386969501182e-29
"56977",168.571678784625,6.11021263306329,0.523812872359238,11.6648768205009,1.92681762796718e-31,1.90281999023704e-28
"1645",596.342552094062,4.6495525099851,0.400666844234198,11.6045352314387,3.90805109339202e-31,3.69157904587109e-28
"84561",930.052283031725,3.52116409466923,0.303653562989777,11.5959913659494,4.31836068875735e-31,3.90919601349759e-28
"151393",785.372130807993,4.00461969131422,0.345619255368329,11.5867956692588,4.80784389111421e-31,4.17820865513389e-28
"203447",237.482106591361,4.44991036693874,0.384542702373063,11.571953750462,5.71658831741942e-31,4.77686914554824e-28
"80177",341.027301609162,8.98585406721428,0.798819596426584,11.2489154089501,2.34457300761553e-29,1.88659974679463e-26
"57447",209.173983609326,7.65709660809421,0.697000119732899,10.9857895161173,4.47310224063353e-28,3.47080783142871e-25
"2626",620.115699427408,7.29054096422167,0.6695596823418,10.8885602829651,1.30689917416375e-27,9.79092808892471e-25
"8076",1243.57350554105,10.6534427338545,0.985067204313568,10.8149400235878,2.92483931390939e-27,2.11816863113318e-24
"4837",3293.49139313532,3.82854389500876,0.356269386621235,10.7462050874414,6.17501966865111e-27,4.32769281681013e-24
"602",551.771930796538,1.42506326365834,0.133976030014584,10.6367031737185,2.01120071749675e-26,1.36547958713545e-23
"4920",460.328920753722,6.72993553328773,0.634227788881596,10.6112277816703,2.64253530117897e-26,1.73974915010346e-23
"6424",5366.07109698513,9.28092985301843,0.879401085026543,10.5536938844444,4.88384452456286e-26,3.12077665119567e-23
"8862",77.0733471153659,5.39940191841541,0.512954129678668,10.5260911376184,6.5498125689099e-26,4.06574936777533e-23
"3394",233.568470051663,8.81657900925459,0.839683158265895,10.499887871352,8.64827929172239e-26,5.21923655255446e-23
"2516",357.16636648367,11.0033949678893,1.04965221067856,10.4828960068363,1.03524179618291e-25,6.07882790915405e-23
"644150",790.885121995427,7.00672585879534,0.676003556806782,10.3649245455051,3.58040928245956e-25,2.0470518965978e-22
"4781",953.146124425253,7.02876520553364,0.678815959935445,10.3544489528533,3.99480250974784e-25,2.2254122904303e-22
"5743",209.865965436411,4.26802932390949,0.416897304240315,10.2376035548775,1.34527221121666e-24,7.23653149592915e-22
"57718",149.779658662136,8.21115474035791,0.802172205696778,10.2361496472264,1.36563468348106e-24,7.23653149592915e-22
"10100",269.058911930609,6.44915175886462,0.650262605074885,9.9177650821885,3.48471356251675e-23,1.80259254426759e-20
"90139",249.385065156227,4.5905811640609,0.463828802406736,9.89714554215064,4.28325760122148e-23,2.16414080567762e-20
"143686",1148.61697982538,5.57729247690168,0.565767817407947,9.85791751544639,6.33496209370965e-23,3.12803151018036e-20
"9242",523.555059606768,4.23168569997266,0.430284280206137,9.83462769763604,7.98624443111381e-23,3.85575881134175e-20
"9201",249.924350587384,6.44530895931499,0.65566993591071,9.83011208278539,8.35257627518276e-23,3.94495809031784e-20
"63027",580.094001345984,4.24335548961589,0.432083649243228,9.82068054888887,9.17222201901137e-23,4.239908416703e-20
"4345",1476.55500311497,5.97437043563568,0.610525750433674,9.78561580963933,1.29802692718787e-22,5.75529245307829e-20
"170689",418.070449976231,4.40331811619767,0.449956397217169,9.78609959416231,1.29183367424429e-22,5.75529245307829e-20
